Enunciato,Tipo,Livello cognitivo,Materia,Anno di corso,Ciclo
Comprendere la struttura di episodio e stasimo,abilità,Comprendere,Greco,IV,Triennio
Tradurre una rhesis con apparato,abilità,Applicare,Greco,IV,Triennio
Analizzare la funzione drammaturgica del coro,abilità,Analizzare,Greco,IV,Triennio
"Valutare la cosiddetta ""modernità"" euripidea",competenza,Valutare,Greco,IV,Triennio
Rielaborare un frammento in chiave contemporanea (aggancio a Beckett),competenza,Creare,Greco,IV,Triennio
Riconoscere l'ablativo assoluto e la perifrastica attiva,conoscenza,Ricordare,Latino,II,Biennio
Tradurre un periodo narrativo del De bello Gallico,abilità,Applicare,Latino,II,Biennio
Analizzare la struttura del periodo tra principale e subordinate,abilità,Analizzare,Latino,II,Biennio
Distinguere le proposizioni completive dalle finali,abilità,Comprendere,Latino,II,Biennio
Comprendere la teoria del piacere e la poetica del vago,abilità,Comprendere,Italiano,V,Triennio
Analizzare metrica e retorica de L'infinito,abilità,Analizzare,Italiano,V,Triennio
Valutare lo sviluppo del pessimismo leopardiano,competenza,Valutare,Italiano,V,Triennio
Produrre un testo argomentativo sul rapporto uomo-natura,competenza,Creare,Italiano,V,Triennio
Collocare nel tempo e nello spazio la nascita della polis,conoscenza,Ricordare,Geostoria,I,Biennio
Distinguere le forme di governo della polis,abilità,Comprendere,Geostoria,I,Biennio
Analizzare una fonte sulla democrazia ateniese,abilità,Analizzare,Geostoria,I,Biennio
Confrontare Atene e Sparta per istituzioni e società,competenza,Valutare,Geostoria,I,Biennio
